step,C-NR,C-SR,C-AR,C-UR,OC-NR,OC-SR,OC-AR,OC-UR,OD-NR,OD-SR,OD-AR,OD-UR,D-NR,D-SR,D-AR,D-UR
259,0,170,0,115,0,60,0,55,0,0,0,0,0,0,0,0
260,0,158,0,75,0,106,0,61,0,0,0,0,0,0,0,0
261,0,168,0,117,0,61,0,54,0,0,0,0,0,0,0,0
262,0,161,0,72,0,103,0,64,0,0,0,0,0,0,0,0
263,0,167,0,118,0,61,0,54,0,0,0,0,0,0,0,0
264,0,158,0,72,0,106,0,64,0,0,0,0,0,0,0,0
265,0,169,0,116,0,60,0,55,0,0,0,0,0,0,0,0
266,0,162,0,76,0,102,0,60,0,0,0,0,0,0,0,0
267,0,169,0,116,0,62,0,53,0,0,0,0,0,0,0,0
268,0,159,0,75,0,105,0,61,0,0,0,0,0,0,0,0
269,0,169,0,116,0,60,0,55,0,0,0,0,0,0,0,0
270,0,160,0,75,0,104,0,61,0,0,0,0,0,0,0,0
271,0,168,0,117,0,61,0,54,0,0,0,0,0,0,0,0
272,0,163,0,74,0,101,0,62,0,0,0,0,0,0,0,0
273,0,168,0,117,0,60,0,55,0,0,0,0,0,0,0,0
274,0,162,0,75,0,102,0,61,0,0,0,0,0,0,0,0
275,0,169,0,116,0,63,0,52,0,0,0,0,0,0,0,0
276,0,161,0,73,0,103,0,63,0,0,0,0,0,0,0,0
277,0,169,0,116,0,61,0,54,0,0,0,0,0,0,0,0
278,0,158,0,75,0,106,0,61,0,0,0,0,0,0,0,0
279,0,168,0,117,0,60,0,55,0,0,0,0,0,0,0,0
280,0,162,0,72,0,102,0,64,0,0,0,0,0,0,0,0
281,0,167,0,118,0,62,0,53,0,0,0,0,0,0,0,0
282,0,163,0,73,0,101,0,63,0,0,0,0,0,0,0,0
283,0,168,0,117,0,62,0,53,0,0,0,0,0,0,0,0
284,0,159,0,76,0,105,0,60,0,0,0,0,0,0,0,0
285,0,167,0,118,0,59,0,56,0,0,0,0,0,0,0,0
286,0,161,0,74,0,103,0,62,0,0,0,0,0,0,0,0
287,0,167,0,118,0,61,0,54,0,0,0,0,0,0,0,0
288,0,159,0,76,0,105,0,60,0,0,0,0,0,0,0,0
289,0,167,0,118,0,62,0,53,0,0,0,0,0,0,0,0
290,0,159,0,73,0,105,0,63,0,0,0,0,0,0,0,0
291,0,167,0,119,0,61,0,53,0,0,0,0,0,0,0,0
292,0,158,0,75,0,106,0,61,0,0,0,0,0,0,0,0
293,0,170,0,116,0,61,0,53,0,0,0,0,0,0,0,0
294,0,161,0,74,0,103,0,62,0,0,0,0,0,0,0,0
295,0,169,0,117,0,61,0,53,0,0,0,0,0,0,0,0
296,0,157,0,73,0,107,0,63,0,0,0,0,0,0,0,0
297,0,169,0,117,0,61,0,53,0,0,0,0,0,0,0,0
298,0,154,0,74,0,110,0,62,0,0,0,0,0,0,0,0
299,0,169,0,117,0,61,0,53,0,0,0,0,0,0,0,0
300,0,159,0,75,0,105,0,61,0,0,0,0,0,0,0,0
301,0,168,0,118,0,61,0,53,0,0,0,0,0,0,0,0
302,0,162,0,72,0,102,0,64,0,0,0,0,0,0,0,0
303,0,167,0,119,0,62,0,52,0,0,0,0,0,0,0,0
304,0,158,0,71,0,106,0,65,0,0,0,0,0,0,0,0
305,0,168,0,118,0,61,0,53,0,0,0,0,0,0,0,0
306,0,159,0,71,0,105,0,65,0,0,0,0,0,0,0,0
307,0,169,0,117,0,61,0,53,0,0,0,0,0,0,0,0
308,0,162,0,76,0,102,0,60,0,0,0,0,0,0,0,0
309,0,170,0,116,0,61,0,53,0,0,0,0,0,0,0,0
310,0,161,0,75,0,103,0,61,0,0,0,0,0,0,0,0
311,0,166,0,119,0,62,0,53,0,0,0,0,0,0,0,0
312,0,156,0,74,0,108,0,62,0,0,0,0,0,0,0,0
313,0,169,0,117,0,61,0,53,0,0,0,0,0,0,0,0
314,0,160,0,74,0,104,0,62,0,0,0,0,0,0,0,0
315,0,167,0,119,0,62,0,52,0,0,0,0,0,0,0,0
316,0,162,0,72,0,102,0,64,0,0,0,0,0,0,0,0
317,0,169,0,117,0,60,0,54,0,0,0,0,0,0,0,0
318,0,155,0,73,0,109,0,63,0,0,0,0,0,0,0,0
319,0,171,0,115,0,61,0,53,0,0,0,0,0,0,0,0
320,0,161,0,77,0,103,0,59,0,0,0,0,0,0,0,0
321,0,171,0,115,0,61,0,53,0,0,0,0,0,0,0,0
322,0,162,0,74,0,102,0,62,0,0,0,0,0,0,0,0
323,0,170,0,115,0,62,0,53,0,0,0,0,0,0,0,0
