step,C-NR,C-SR,C-AR,C-UR,OC-NR,OC-SR,OC-AR,OC-UR,OD-NR,OD-SR,OD-AR,OD-UR,D-NR,D-SR,D-AR,D-UR
221,0,186,0,45,0,121,0,41,0,4,0,3,0,0,0,0
222,0,194,0,46,0,113,0,41,0,3,0,3,0,0,0,0
223,0,182,0,45,0,123,0,39,0,6,0,5,0,0,0,0
224,0,185,0,43,0,123,0,43,0,3,0,3,0,0,0,0
225,0,177,0,41,0,133,0,42,0,3,0,4,0,0,0,0
226,0,195,0,51,0,113,0,36,0,3,0,2,0,0,0,0
227,0,178,0,42,0,130,0,39,0,6,0,5,0,0,0,0
228,0,176,0,47,0,131,0,42,0,2,0,2,0,0,0,0
229,0,189,0,46,0,119,0,37,0,4,0,5,0,0,0,0
230,0,194,0,48,0,114,0,39,0,2,0,3,0,0,0,0
231,0,195,0,41,0,119,0,40,0,1,0,4,0,0,0,0
232,0,188,0,46,0,122,0,36,0,2,0,6,0,0,0,0
233,0,187,0,47,0,126,0,35,0,2,0,3,0,0,0,0
234,0,193,0,41,0,112,0,44,0,7,0,3,0,0,0,0
235,0,187,0,42,0,123,0,43,0,3,0,2,0,0,0,0
236,0,188,0,39,0,120,0,44,0,4,0,5,0,0,0,0
237,0,185,0,45,0,126,0,37,0,2,0,5,0,0,0,0
238,0,181,0,47,0,125,0,41,0,3,0,3,0,0,0,0
239,0,177,0,49,0,134,0,34,0,4,0,2,0,0,0,0
240,0,185,0,45,0,121,0,44,0,3,0,2,0,0,0,0
241,0,191,0,41,0,120,0,42,0,4,0,2,0,0,0,0
242,0,183,0,45,0,124,0,41,0,5,0,2,0,0,0,0
243,0,198,0,44,0,112,0,38,0,5,0,3,0,0,0,0
244,0,179,0,51,0,127,0,39,0,3,0,1,0,0,0,0
245,0,192,0,46,0,118,0,35,0,5,0,4,0,0,0,0
246,0,185,0,46,0,121,0,41,0,5,0,2,0,0,0,0
247,0,185,0,47,0,127,0,35,0,4,0,2,0,0,0,0
248,0,184,0,44,0,125,0,42,0,3,0,2,0,0,0,0
249,0,183,0,41,0,129,0,36,0,5,0,6,0,0,0,0
250,0,198,0,45,0,112,0,41,0,2,0,2,0,0,0,0
251,0,190,0,43,0,124,0,33,0,3,0,7,0,0,0,0
252,0,198,0,44,0,112,0,42,0,1,0,3,0,0,0,0
253,0,182,0,45,0,131,0,33,0,3,0,6,0,0,0,0
254,0,190,0,43,0,118,0,42,0,3,0,4,0,0,0,0
255,0,185,0,43,0,129,0,38,0,4,0,1,0,0,0,0
256,0,182,0,50,0,124,0,37,0,5,0,2,0,0,0,0
257,0,179,0,48,0,132,0,33,0,5,0,3,0,0,0,0
258,0,189,0,44,0,119,0,41,0,4,0,3,0,0,0,0
259,0,183,0,46,0,129,0,32,0,6,0,4,0,0,0,0
260,0,192,0,47,0,116,0,39,0,4,0,2,0,0,0,0
261,0,197,0,43,0,116,0,35,0,6,0,3,0,0,0,0
262,0,181,0,46,0,128,0,40,0,4,0,1,0,0,0,0
263,0,195,0,41,0,115,0,36,0,6,0,7,0,0,0,0
264,0,189,0,48,0,122,0,37,0,2,0,2,0,0,0,0
265,0,181,0,45,0,129,0,33,0,7,0,5,0,0,0,0
266,0,187,0,48,0,122,0,38,0,4,0,1,0,0,0,0
267,0,186,0,47,0,124,0,33,0,8,0,2,0,0,0,0
268,0,180,0,47,0,130,0,38,0,4,0,1,0,0,0,0
269,0,180,0,44,0,133,0,35,0,5,0,3,0,0,0,0
270,0,196,0,44,0,116,0,39,0,2,0,3,0,0,0,0
271,0,180,0,47,0,137,0,30,0,2,0,4,0,0,0,0
272,0,188,0,40,0,124,0,42,0,1,0,5,0,0,0,0
273,0,187,0,50,0,128,0,27,0,3,0,5,0,0,0,0
274,0,187,0,44,0,125,0,39,0,2,0,3,0,0,0,0
275,0,196,0,43,0,120,0,37,0,2,0,2,0,0,0,0
276,0,176,0,41,0,132,0,39,0,6,0,6,0,0,0,0
277,0,190,0,43,0,125,0,37,0,2,0,3,0,0,0,0
278,0,185,0,46,0,124,0,36,0,6,0,3,0,0,0,0
279,0,189,0,45,0,128,0,35,0,1,0,2,0,0,0,0
280,0,183,0,44,0,124,0,38,0,8,0,3,0,0,0,0
281,0,198,0,45,0,115,0,35,0,5,0,2,0,0,0,0
282,0,179,0,42,0,134,0,38,0,3,0,4,0,0,0,0
283,0,188,0,42,0,126,0,35,0,4,0,5,0,0,0,0
284,0,176,0,44,0,137,0,37,0,2,0,4,0,0,0,0
285,0,180,0,46,0,135,0,32,0,3,0,4,0,0,0,0
286,0,180,0,41,0,134,0,36,0,2,0,7,0,0,0,0
287,0,186,0,41,0,132,0,34,0,1,0,6,0,0,0,0
